feature,model_name,test_auc_mean,test_auc_std,test_auc_count,test_f1_mean,test_f1_std,test_f1_count
maccs,lgbm,0.9743,,1,0.962,,1
maccs,xgb,0.9708,,1,0.9529,,1
maccs,rf,0.9704,,1,0.9632,,1
maccs,svm,0.9555,,1,0.9541,,1
descriptors_basic,lgbm,0.9543,,1,0.9569,,1
descriptors_basic,rf,0.9542,,1,0.9574,,1
morgan,rf,0.9525,0.0164,2,0.9464,0.0171,2
fp2,rf,0.9516,,1,0.9549,,1
fp2,xgb,0.9511,,1,0.9585,,1
fp2,lgbm,0.9511,,1,0.9585,,1
fp2,svm,0.947,,1,0.9529,,1
morgan,xgb,0.9456,0.0242,2,0.9421,0.0196,2
maccs,knn,0.9448,,1,0.9492,,1
descriptors_basic,xgb,0.9445,,1,0.9582,,1
morgan,lgbm,0.9417,0.0178,2,0.9482,0.0199,2
fp2,lr,0.9415,,1,0.9483,,1
maccs,lr,0.9371,,1,0.9395,,1
morgan,lr,0.936,0.0295,2,0.9438,0.0087,2
morgan,svm,0.9265,0.035,2,0.946,0.0147,2
descriptors_basic,knn,0.9224,,1,0.9366,,1
fp2,knn,0.9196,,1,0.9473,,1
descriptors_basic,lr,0.8977,,1,0.926,,1
descriptors_basic,svm,0.8914,,1,0.9264,,1
morgan,knn,0.8843,0.0406,2,0.9429,0.0079,2
